Row number,Date,Hr,Mainland Air Temp,Humidity (%),Direction (A),Wind Speed (A),Gusting,Atmospheric Pressure (IN),Precipitation Rate,Bay Temp,Salinity,LBI Air Temp,Ocean Temp,Onshore,upwelling_flag
234,6/10/2025,16,23.9,80.0,12,4.7,10.0,29.83,0.0,19.62,27.76,20.3,16.8,0,0
235,6/10/2025,17,26.2,73.0,10,3.0,7.2,29.83,0.0,19.35,27.98,19.7,16.8,0,0
236,6/10/2025,18,25.0,78.0,9,4.7,8.0,29.84,0.0,19.36,28.03,20.8,16.8,0,0
237,6/10/2025,19,25.9,77.0,8,4.3,6.3,29.96,0.0,19.6,28.17,21.9,17.1,1,0
238,6/10/2025,20,24.8,79.0,8,3.5,5.2,29.87,0.0,19.17,28.17,20.9,17.2,1,0
239,6/10/2025,21,22.4,83.0,10,1.8,3.1,29.89,0.01,17.57,27.3,24.2,17.4,0,0
240,6/10/2025,22,20.8,87.0,9,2.8,3.8,29.91,0.01,17.38,27.42,22.9,17.2,0,0
241,6/10/2025,23,20.3,88.0,10,3.3,5.3,29.93,0.0,18.49,27.84,21.4,17.1,0,0
242,6/11/2025,0,20.3,89.0,10,2.5,3.8,29.94,0.0,18.93,28.08,21.4,17.2,0,0
243,6/11/2025,1,19.1,90.0,13,1.9,3.0,29.95,0.0,18.81,27.8,21.9,17.1,0,0
244,6/11/2025,2,18.6,91.0,12,1.9,3.9,29.96,0.0,19.7,27.66,21.2,17.0,0,0
245,6/11/2025,3,17.8,92.0,12,1.7,3.6,29.97,0.0,19.0,27.52,20.7,16.9,0,0
246,6/11/2025,4,17.8,93.0,12,3.5,7.0,29.97,0.0,19.49,26.96,20.2,17.0,0,0
247,6/11/2025,5,18.2,94.0,14,3.0,4.8,29.97,0.0,19.42,27.17,20.3,16.8,0,0
248,6/11/2025,6,18.0,93.0,13,2.0,3.7,29.99,0.0,19.46,27.31,20.3,16.9,0,0
249,6/11/2025,7,18.2,91.0,14,1.8,3.4,30.01,0.0,19.72,27.06,20.3,16.9,0,0
250,6/11/2025,8,20.9,76.0,15,3.3,5.6,30.03,0.0,19.56,27.29,21.7,16.8,0,0
251,6/11/2025,9,23.9,59.0,15,3.5,7.9,30.04,0.0,19.62,27.02,23.2,16.8,0,0
252,6/11/2025,10,26.4,48.0,14,2.8,7.0,30.05,0.0,19.57,27.26,23.1,16.8,0,0
253,6/11/2025,11,28.2,40.0,12,2.8,8.5,30.05,0.0,19.83,27.27,24.9,16.9,0,0
254,6/11/2025,12,30.0,38.0,0,3.5,6.4,30.05,0.0,20.3,27.2,25.6,17.0,0,0
255,6/11/2025,13,31.4,35.0,11,3.2,6.4,30.05,0.0,20.88,27.22,25.4,17.2,0,0
256,6/11/2025,14,32.5,38.0,9,4.3,6.7,30.03,0.0,21.38,26.98,24.7,17.5,0,0
257,6/11/2025,15,29.7,43.0,9,9.4,14.0,30.03,0.0,21.42,26.93,24.3,18.2,0,0
258,6/11/2025,16,29.7,42.0,8,9.5,16.2,30.02,0.0,21.0,27.03,24.6,18.9,1,0
259,6/11/2025,17,30.2,46.0,9,6.4,9.5,30.01,0.0,21.18,26.97,23.7,19.3,0,0
260,6/11/2025,18,29.8,38.0,11,6.6,11.9,30.0,0.0,20.76,27.32,23.2,19.1,0,0
